"","GameID","Team","Opponent","Home","Win","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS"
"1","400827888","Hawks","Pistons","1","0","37","82","8","27","12","15","7","33","40","22","9","4","15","25","94"
"2","400827888","Pistons","Hawks","0","1","37","96","12","29","20","26","23","36","59","23","5","3","15","15","106"
"3","400827889","Bulls","Cavaliers","1","1","37","87","7","19","16","23","7","40","47","13","6","10","13","22","97"
"4","400827889","Cavaliers","Bulls","0","0","38","94","9","29","10","17","11","39","50","26","5","7","10","21","95"
"5","400827890","Warriors","Pelicans","1","1","41","96","9","30","20","22","21","35","56","29","8","7","20","29","111"
"6","400827890","Pelicans","Warriors","0","0","35","83","6","18","19","27","8","25","33","21","9","3","18","26","95"
"7","400827891","Magic","Wizards","1","0","37","100","5","26","8","12","17","39","56","20","9","6","14","22","87"
"8","400827891","Wizards","Magic","0","1","33","84","7","28","15","25","15","34","49","17","8","9","17","14","88"
"9","400827892","Celtics","76ers","1","1","39","85","8","24","26","27","10","31","41","31","10","7","17","23","112"
"10","400827892","76ers","Celtics","0","0","34","83","7","22","20","23","14","32","46","12","11","6","22","22","95"
"11","400827893","Nets","Bulls","1","0","39","93","0","9","22","28","16","29","45","19","11","5","13","18","100"
"12","400827893","Bulls","Nets","0","1","42","78","14","28","17","20","5","34","39","20","9","3","19","24","115"
"13","400827894","Pistons","Jazz","1","1","30","74","7","19","25","34","8","35","43","16","2","4","10","20","92"
"14","400827894","Jazz","Pistons","0","0","35","75","2","12","15","21","4","34","38","15","4","5","12","25","87"
"15","400827895","Heat","Hornets","1","1","36","73","12","20","20","21","2","39","41","23","5","7","13","25","104"
"16","400827895","Hornets","Heat","0","0","33","84","6","24","22","29","11","32","43","16","4","1","8","16","94"
"17","400827896","Raptors","Pacers","1","1","36","80","7","18","27","39","9","41","50","19","8","2","20","24","106"
"18","400827896","Pacers","Raptors","0","0","32","86","9","23","26","31","8","32","40","23","14","3","13","30","99"
"19","400827897","Rockets","Nuggets","1","0","30","87","8","35","17","26","15","29","44","17","13","8","16","19","85"
"20","400827897","Nuggets","Rockets","0","1","40","79","13","27","12","18","9","40","49","26","9","10","21","26","105"
"21","400827898","Grizzlies","Cavaliers","1","0","29","82","2","16","16","22","11","29","40","15","8","3","16","18","76"
"22","400827898","Cavaliers","Grizzlies","0","1","41","84","13","29","11","17","12","42","54","29","7","2","19","25","106"
"23","400827899","Bucks","Knicks","1","0","30","86","9","18","28","31","18","29","47","17","7","4","18","27","97"
"24","400827899","Knicks","Bucks","0","1","42","93","9","23","29","35","19","30","49","24","11","7","11","28","122"
"25","400827900","Thunder","Spurs","1","1","42","86","7","19","21","22","11","34","45","21","7","4","19","19","112"
"26","400827900","Spurs","Thunder","0","0","45","93","5","15","11","13","7","29","36","22","11","9","13","18","106"
"27","400827901","Suns","Mavericks","1","0","34","87","6","24","21","33","13","40","53","15","3","3","18","30","95"
"28","400827901","Mavericks","Suns","0","1","40","85","10","21","21","31","6","42","48","24","7","3","8","25","111"
"29","400827902","Trail Blazers","Pelicans","1","1","44","88","12","32","12","14","6","45","51","22","7","4","12","21","112"
"30","400827902","Pelicans","Trail Blazers","0","0","36","91","11","33","11","18","5","34","39","19","7","2","11","17","94"
"31","400827903","Kings","Clippers","1","0","41","94","11","24","11","18","12","37","49","24","8","3","16","27","104"
"32","400827903","Clippers","Kings","0","1","42","80","6","19","21","31","6","36","42","20","8","9","15","19","111"
"33","400827904","Lakers","Timberwolves","1","0","35","90","9","34","32","35","12","36","48","18","2","4","13","29","111"
"34","400827904","Timberwolves","Lakers","0","1","38","83","5","20","31","37","6","33","39","24","3","4","8","26","112"
"35","400827905","Pacers","Grizzlies","1","0","37","78","12","30","17","24","10","28","38","23","7","4","20","22","103"
"36","400827905","Grizzlies","Pacers","0","1","41","82","7","16","23","29","12","30","42","26","12","5","14","25","112"
"37","400827906","Knicks","Hawks","1","0","38","93","6","29","19","21","16","32","48","21","10","4","21","24","101"
"38","400827906","Hawks","Knicks","0","1","42","83","10","24","18","26","7","32","39","26","11","4","15","18","112"
"39","400827907","Clippers","Mavericks","1","1","38","87","8","31","20","33","8","45","53","21","6","8","8","17","104"
"40","400827907","Mavericks","Clippers","0","0","35","97","6","30","12","15","14","41","55","22","4","2","12","26","88"
"41","400827908","Cavaliers","Heat","1","1","39","86","6","25","18","21","14","35","49","25","4","4","11","19","102"
"42","400827908","Heat","Cavaliers","0","0","33","77","6","21","20","22","6","32","38","21","5","7","13","20","92"
"43","400827909","Magic","Thunder","1","0","47","106","12","33","30","38","14","35","49","25","10","10","16","31","136"
"44","400827909","Thunder","Magic","0","1","50","110","8","27","31","38","22","40","62","19","8","9","20","28","139"
"45","400827910","76ers","Jazz","1","0","19","63","6","15","27","37","8","31","39","15","4","5","18","22","71"
"46","400827910","Jazz","76ers","0","1","36","88","7","13","20","25","13","38","51","19","10","9","7","22","99"
